essay_id,component_type,text,candidate_pramana,candidate_reason,final_pramana,strength_label,reviewed,review_priority
essay102,Premise,you can't see the texture of the artwork which is very important to study the skills used by the artist,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay268,Premise,"my roommate, Mary, always wakes up 6 in the morning and spends 1 hour doing sport in the park which is near our dormitory",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay346,MajorClaim,my term of a successful man is one who has certain achievements in life rather than the one with a high income,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay270,Premise,"If some employees lack the ability to plan and organize ahead, they may get the procrastination and therefore take into action until the deadline is imminent",Anumana,Matched Anumana cues: therefore,,,,baseline_sample
essay397,Premise,"With the help of advanced methods, many art masterpiece has been well restorated and well preserved",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay299,MajorClaim,its better that people learn foreign language in their own country,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay358,Premise,They save the travelling time to Universities and utilize that time on their studies,Shabda,Matched Shabda cues: studies,,,,high
essay234,MajorClaim,standardized tests are valuable option for educational system as long as it would help teachers to know if the students are really getting knowledge,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay002,Premise,"Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism",Upamana,Matched Upamana cues: like,,,,high
essay366,Premise,Adolescents follow not only the make up and attire of their favorite stars but also their behavior,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay216,Claim,spending on renovating the highways and roads can improve the quality,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay349,Premise,these subject are necessary for students' future,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay085,Premise,"when a shop is attacked by thieves, the clips taken by these cameras serve as a source of evidence to help the thieves to be traced",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay149,Claim,they can provide more advices and helps in our career,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay054,Claim,"people who watch exhibitions on TV or internet at home, save the time and money on the road, which is increasingly significant particularly to people in modern society",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay113,Premise,residents in rural areas still depend on their own farm for food production,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay124,Claim,in this age they are not expected to be responsible,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay083,Premise,while generating energy from any source be it hydro power or oil there always is some wastage and so is the case with nuclear power,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay085,MajorClaim,CCTV cameras are essential and therefore must be installed in every premise,Anumana,Matched Anumana cues: therefore,,,,baseline_sample
essay087,Claim,"They have more opportunities, profits, and authorities",Shabda,Matched Shabda cues: authorities,,,,high
essay162,Claim,"cheap air fares have broadened travel possibilities for many people, particularly for the lower income group",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay390,Premise,"We definitely do not want our children to spend money on luxurious custom or lifestyle just to be similar to someone, especially when these people are not symbols of any talent but showing off",Upamana,Matched Upamana cues: similar to,,,,high
essay266,Claim,There are the build-up of the concept about healthy eating habits and self-control that really matter,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay066,Premise,people tend to follow the trend back to the tradition in the recent years,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay144,Claim,"This will improve the quality of both universities and students, thus placing people in positions which suit them most",Anumana,Matched Anumana cues: thus,,,,baseline_sample
essay215,Claim,"we should develop at least one personal hobby, not to show off, but express our emotion when we feel depressed or pressured",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay122,Premise,"After classes students and not only the students will get together in building of high school, participate in different competitions",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay255,Premise,with the stations increased people are willing to take a public transportation than drive on their own,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay108,Premise,"From social perspective, massively forcing the early retirement would be one of financial burden to the local government",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay133,MajorClaim,"in era technology like this age, computer becomes important thing in human life",Upamana,Matched Upamana cues: like,,,,high
essay244,Claim,"even when people watch television together, there is no chance for them to have conversation in front of television",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay320,Premise,"To my rivals' surprise, being the only member of my own ""team"" I gained a victory",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay139,Claim,species extinction is quite natural according to the theory of evolution,Shabda,Matched Shabda cues: according to,,,,high
essay396,Claim,indispensable public services like hospital and school worth every penny investing,Upamana,Matched Upamana cues: like,,,,high
essay188,Claim,"including exercise in children's daily routine, it is a good way to teach them the importance of physical activity from an early age",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay235,MajorClaim,universities should provide free of cost education to the interested scholars,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay027,MajorClaim,financial aid is not the only way to assist poor countries,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay015,MajorClaim,they may be factors decreasing the position of written language,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay345,Premise,"By working too long, they often become tired, lazy and reluctant to carry out physical exercise in order to remain fit and healthy and eventually loose health and become sick",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay325,MajorClaim,the excellent knowledge will be of more importance,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay332,Claim,Another advantage of living with parents for a longer period of time is the enhanced emotional attachment with them,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay129,Claim,the advantages of this are qualitatively greater than that of the opposite,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay257,Claim,luck is one factor in reaching goal,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay386,MajorClaim,the classmates should be regarded as the most important influence on individual achievements,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay014,Premise,Discovery Channel has many instructive episodes,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay212,Claim,keeping own customs stably might cause discrimination,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay107,Claim,rapid development of infrastructure is eating most of the forest throughout world,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay062,Claim,"some male chauvinists think that women are incapable in particular fields, like maths, mechanical engineering, defense etc",Upamana,Matched Upamana cues: like,,,,high
essay180,Premise,"When being in the department of art, I have not only learned how to do a project, but also known some famous artists during the term",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay301,MajorClaim,one should not give up,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay226,Claim,life changes rapidly,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay107,Claim,large emissions of carbon monoxide gas from refrigerants like air conditioners have depleted ozone layer,Upamana,Matched Upamana cues: like,,,,high
essay005,MajorClaim,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay311,MajorClaim,the university should allow the student to participate in the classed without passing the test,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
essay045,Premise,"there are other pressing demands on the government expenditure, such as health care service and education",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,,baseline_sample
