essay_id,component_type,text,candidate_pramana,candidate_reason,final_pramana,strength_label,reviewed
essay339,MajorClaim,people should create a sense of co-operation in their children to make them feel more accomplished in life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay015,Claim,"The popularity of email and text messaging, as a result, leads to the losing of written language's position",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay083,MajorClaim,nuclear power may appear silver bullet for energy crisis but its disadvantages far outweigh the advantages,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay317,Premise,Scientists try and test many specimens before they get they want,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay353,Claim,children from rich families have better skills on how to use money,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay101,Claim,the expertise of the senior workers who had retired should never be underestimated,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay252,Claim,parents shouldn't put so much stress on children,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay120,Claim,The third reason why the death penalty should be banned is the chance that innocent people are wrongly convicted,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay157,Claim,you have to look through different sources before you manage to find some reliable facts,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay354,MajorClaim,people are facing up with many recently appeared illnesses,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay187,Claim,"he can learn most useful idioms, proverbs and so many other things which the former person, person 'A', does not have access to",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay013,Claim,"instead of interfering children's creativity, technology actually encourages children to learn and to create",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay273,Premise,Every technology has it’s good and bad effects but I prefer having the technologies with their disadvantages to living like 16 century without any of modern facilities of technology,Upamana,Matched Upamana cues: like,,,
essay356,Premise,"both locals and tourists can experience more cultures than ever before, and they can be more open-minded to eliminate preconceptions and deepen mutual understanding among nations",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay049,Premise,it is generally felt that the access to these tools of communication is available in every corner of the world,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay304,Claim,the natural diversity is very important for further generations,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay363,MajorClaim,using machines is advantageous,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay264,Claim,successful people can learn important and very valuable points from trying new things,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay188,MajorClaim,physical exercise is a crucial part of every school day,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay157,Premise,"Some people may disinform you on purpose, that's why it is rather unwise to make conclusions before you are confident of the information",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay396,MajorClaim,both public services and arts worth investment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay219,Premise,"More men, on the other hand, are willing to participate in cooking that they had never done before",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay340,Premise,technology provides opportunities for people to establish the social network,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay009,Claim,communication is very important,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay389,Premise,A well-informed man can act sensibly and make sound judgment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay008,Claim,"if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay289,Premise,Teachers could augment their quality,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay108,Premise,"From social perspective, massively forcing the early retirement would be one of financial burden to the local government",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay246,Premise,"if someone decided to quit his job without really thinking about the alternative, or a plan B, he could end up being unemployed, because of his speedy decision",Anumana,Matched Anumana cues: because,,,
essay379,MajorClaim,there are still many other aspects which should be seen as important as income when people choose a job,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay222,Premise,"Unlike a professional, parents always support children and give them much social skill so they can communicate well with others and have good habit in life",Upamana,Matched Upamana cues: like,,,
essay398,Premise,"a girl, who is interested in literature, is arranged into an engineering department",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay014,Premise,Discovery Channel has many instructive episodes,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay071,Claim,it is unfair to restrict those public service advertisements which are creative and inspiring,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay261,Claim,the school should replace some basic science class with some art and music class in order to cultivate student's interest of art without adding extra study pressure,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay283,MajorClaim,I totally disagree with this statement that teachers should be paid by how much their students learn,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay220,Premise,another daily expense is also the considerable outgoings,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay052,Premise,"it does not express every detail of life especially in Asia countries, which have totally different linguistic system",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay021,MajorClaim,high sales are obviously a reflection of the powerful advertisements,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay297,Premise,I got 1st rank in final exam,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay020,Claim,governments should restrict the use of products that cause air pollution for both individuals and companies,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay344,Claim,government cannot equalize the price of creation of modern artist,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay208,Premise,That as well would provide the students with more confidence and let them become more compatible,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay206,Claim,another advantage of small towns is living costs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay281,Premise,"When society had problems, it could impact to a nation",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay182,Claim,making college education free would cost too much,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay390,MajorClaim,celebrities nowadays give more good influence on young people than they were previously,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay268,Premise,"my roommate, Mary, always wakes up 6 in the morning and spends 1 hour doing sport in the park which is near our dormitory",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay280,Premise,students will choose a career that they want including the job with high salary include,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay031,Claim,it is crucial to alter automobiles to the other means of transportation and to legislate to control automobiles,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay282,Claim,And everyone should find the time to do more and more to feel better physically and in everyone mind,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay261,MajorClaim,younger students' art and music education should not take the second place,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay187,Premise,he is not jumping into the foreign country,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay127,Premise,"Everyday, I walk on hard roads, breath in polluted air, and live in a limited space",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay296,MajorClaim,technologies made our lives more complicated,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay090,Claim,"there are some people who are black skin, fat and frown, nonetheless they might be a great person for leaving and colleague",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay070,MajorClaim,it is insufficient to increase the petrol price only to solve problems,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay335,MajorClaim,IT discoveries are likely to have more disadvantages than benefits and people should know how to use their developments properly,Anumana,Matched Anumana cues: likely,,,
essay080,MajorClaim,more good come from zoos than bad,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay174,Premise,Entertaining movies are created to amuse people,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay259,Premise,It's more efficient and straight-forward than talking in the phone,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay301,MajorClaim,one should not give up,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay396,Claim,our standard of living also depend on another factor - spiritual life which is related closely with arts,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay275,MajorClaim,children should learn to manage their own money at a young age,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay133,Claim,this modern device has been a major hindrance to some people,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay242,Claim,people should concern more about their living environment than job,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay040,MajorClaim,having a part time job during your student time will offer students many clear benefits,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay359,Premise,the possibility of the conflicts is reduced because the understanding between both parties,Anumana,Matched Anumana cues: because,,,
essay319,Claim,we need part-time job to teach us how hard the real adult life can be,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay331,Premise,they are significant symbols of a city,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay148,MajorClaim,"new technology has affected cultures of the world, and we can see many similarities in many cultures",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay146,Claim,students have to find one or more fields of study in which they are really interested,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay100,MajorClaim,it would be wrong to say that one's success completely depends on the education he or she receives at the institutions,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay105,Claim,"the current cost of medicines is , in fact, reasonable and based on the medicines' effectiveness",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay336,Claim,too much news coverage to famous people seems to have a negative influence on the choice of children of their future professions,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay081,Premise,it is every human's right to be able to voice out their opinions in any ways as long as they do not cause any problems to the nation,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay376,Claim,"No one can argue the importance to include health lessons in school programmes, especially at primary level, in the hope of raising people's awareness",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay228,MajorClaim,TV programs are among the popular topics in every day talk as well as a great time for gathering,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay382,MajorClaim,the richness as well as convenience of technology are two main factors that contribute to the students' progress,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay345,Premise,"Recently, his health and personal life was drastically affected as he broke up with his wife and his family life has totally been in chaos and cries",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay209,Claim,"it should be up for grabs for a majority of young people, who wish to pursue their passion as well as develop comprehensively",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay099,MajorClaim,I would agree to idea of taking a break before starting higher education,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay300,MajorClaim,schools should consider giving several small vocations to the students during the year,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay376,MajorClaim,this plan should be put into practice,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay071,Claim,"the advertising expenses lead to a higher product price and some of them express fake information, creating information asymmetry between consumers and companies",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay123,Claim,parents and adults relatives are the best friends and consular for the teenagers,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay159,Claim,juveniles who possess mobile phones have great tendencies to become materialistic,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay096,MajorClaim,the juries should at least know something about the criminals before coming to a conclusion,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay072,MajorClaim,"the most suitable method of reducing stress for modern people is by different kinds of exercise, which can not only improve health conditions but also bring positive emotions",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay399,Claim,"without proper parenting, children may perceive that this is the cool life people are supposed to be living",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay366,Premise,Adolescents follow not only the make up and attire of their favorite stars but also their behavior,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay379,Claim,"if we are passionate about what we are working, we are likely to achieve success easily in that field",Anumana,Matched Anumana cues: likely,,,
essay191,MajorClaim,I strongly prefer studying in a group of my friends because of some important opportunities gaining with this activity,Anumana,Matched Anumana cues: because,,,
essay182,Premise,"People who cannot afford to pay their tuition benefit from the scholarship, financial aids, and other funds",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay386,MajorClaim,the classmates should be regarded as the most important influence on individual achievements,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay311,Premise,I don't like electronics,Upamana,Matched Upamana cues: like,,,
essay206,Claim,"it has some advantages such as less stress, because of better weather conditions and also, better relationship within a town",Anumana,Matched Anumana cues: because,,,
essay284,Claim,we can’t always let good people be rewarded in movies or TV programs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay016,Premise,it is necessary to make sure that people can live a long life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay378,Premise,"compared with teachers, parents do not have enough time to spend with their children",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay045,MajorClaim,direct financial support may not be a wise option and people should rely on themselves to get out of the adversity,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay217,Claim,the way of learning life through listening to the advice of family and friends is more realistic than the latter,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay244,MajorClaim,"it is detrimental to communication among members in group, family or friends or whatever, to sit in front of television and just stare forward",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay068,Claim,"This will definitely set a bad example for the immature audiences who, lacking correct parental guidance and abilities to differentiate the right from wrong, are prone to go astray by imitating the violent behaviors and committing real violent crimes",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay301,Claim,one who learns the great difficulty will become stronger,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay250,Premise,It's all the same in every profession,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay183,Premise,watching film about terrorist children will be able to consider terrorism as a right thing,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay170,Premise,"People utilize architecture technology to construct buildings to expand urban areas, and fuel companies apply drilling technology to extract a great amount of fossil oil in natural regions",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay381,MajorClaim,this trend reflects and enhances the high level of violence in society,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay264,MajorClaim,success and trying new things and taking risks go hand in hand and to achieve success you should consider them,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay001,Claim,"without the cooperation, there would be no victory of competition",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay350,MajorClaim,newspapers and magazines will be history with the time,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay126,MajorClaim,friends are the most important people in my life second to my family,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay218,Claim,in childhood most people are happier than in adulthood,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay267,MajorClaim,"television has destroyed communication among friends and family as soon as television become a priority, spend a lot of time watching it and eat in front of the television",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay220,Claim,"living with parents longer brings about memories with parents, less cost, and advice from parents",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay211,Claim,school education should not only focus on the academic development of a student,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay155,Premise,restaurants are places that people usually come with their families,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay394,Claim,poor handwriting can have a negative impact on students' school performance,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay159,Premise,internet capable phones help influence the young ones to become more interested in chatting and social sites rather than doing school works,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay004,MajorClaim,this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay279,Premise,people who have no time or have financial problems could travel around the world by using the internet,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay245,MajorClaim,communicating by e-mails or voice mails is better,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay340,MajorClaim,the technology has large positive effects on relationships between people,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay135,Claim,it is reasonable to lend a hand to our fellow citizens,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay173,MajorClaim,zoos are very useful,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay351,Claim,the salary is very pivotal factor,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay019,MajorClaim,for the young adults it will be better to live with their parents,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay271,Claim,being present at classes provide students with opportunity of communicating with other students that is beneficial for understanding new material by reviewing them throughout the free times in college,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay149,Claim,they can provide more advices and helps in our career,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay307,Premise,"there are Reality TV, television programs in which people are put into artificial environments and situations, for example like ""Big Brother""",Upamana,Matched Upamana cues: like,,,
essay005,MajorClaim,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay248,Claim,They have a deep insight in it and could provide much support to their children,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay109,Premise,This is actually very environmentally unfriendly,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay132,Claim,The best way to ensure a flexible earning is getting more jobs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay267,Claim,"Some People spend a lot of time watching television, others even eat watching television, and some others make of this media a priority",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay322,MajorClaim,we should preserve historic buildings in the city,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay115,Premise,manual harvest prevents severe environmental damages,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay363,Premise,Take the example of use of food processors in kitchens,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay332,Claim,living with parents is a wise choice for adults until they get a head start to their professional career with a reasonable income,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay327,MajorClaim,children should start learning a foreign language in the beginning of the education,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay335,Claim,connecting people by email is easy and fast,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay369,Premise,environmental damage is inevitable,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay071,Premise,it could simulate household spending and therefore promote the economic development of the whole country,Anumana,Matched Anumana cues: therefore,,,
essay339,Premise,This factor will lead them to be successful in their lives ahead,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay189,Claim,jobs can divert students from their studies,Shabda,Matched Shabda cues: studies,,,
essay164,Claim,employees fell that they are valuable if they are trained,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay281,MajorClaim,government should spend money on basic people needs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay354,Premise,The main reason why people are becoming so addicted to sitting at their homes even for the whole day is an advance technology,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay318,Premise,"Driving cars during the rush hours might is bound to polluting cities's environment, but laws protect drivers to do so",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay367,MajorClaim,the needs for having developed-skills and gaining degree certificate in order to build someone's career are totally needed to implement and applied for any gender,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay201,Premise,"Just imagine if the project your company is sponsoring effectively improves the environment, then your company would be known as an environmentally-friendly company and benefit from it in this consumer-oriented society",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay387,Claim,life in those cities is good in some ways,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay181,MajorClaim,the benefit from it will outweigh the cost,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay191,Claim,Increasing the motivation and competence spirit are another benefit of group-studying,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay136,Premise,schools and university are places in which students gather to be educated and learn from each others as well as formal educators,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay316,MajorClaim,new building construction hold the right to gain more money from government,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay157,MajorClaim,information is power,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay271,MajorClaim,being present at classes seems a wiser option,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay348,Premise,what they do is for the well-being of the whole society,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay373,MajorClaim,The world should consider clearly about polishing the law of the dead penalty,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay221,Claim,It benefits to a certain country,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay211,Premise,schools are responsible for developing their students into well-rounded people,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay170,Premise,we could get more happiness from technology,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay198,Premise,"It means that by using public transports, the less gas exhaust is pumped to the air and people will no longer have to bear the stuffy situation on the roads, which is always full of fumes",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay086,MajorClaim,"Today's children needs somethings to entertain them, and occupy their leisure time in the best way",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay160,MajorClaim,Government should decide for punishment case by case basis,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay172,MajorClaim,I would prefer to live in an apartment in the community rather than in the university dormitories,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay031,Premise,it is a better form to protect environment than automobile,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay324,Premise,"the change of job, not the same task day by day",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay372,Premise,study form their mistakes helps us accomplish our goal with smooth sailing,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay177,Premise,The biggest advantage is that your classroom and instructor are available 24 hours a day,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay117,Premise,It would mean another industrial revolution,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay302,Claim,The global economic conditions in these days are tough and there are many unpredictable factors that make it necessary to have some money on your bank account,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay095,Claim,the progress of news media is an advantageous development,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay366,Claim,following celebrities blindly affects the health of adolescents,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay032,Claim,a great amount of materials and money have poor countries being corrupted and politically dependent on other countries,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay076,Claim,it is a waste of public money for the government to subsidize health care and education of each citizen in society,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay368,MajorClaim,it has been proven benefits people enjoy this arrangement,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay378,Claim,it was impossible for them to be a good teacher,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay070,Premise,with supervisory institutions built to find and address problems,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay075,MajorClaim,governments should attach heavier weight to other social issues such as education and housing needs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay238,Premise,And also taking the chance for making friends,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay217,Premise,Family members such as your parents are experienced in life so they can give you proper and sincere guidance on every aspect of life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay185,Claim,these new forms of energy may not be as clean and green as we think,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay014,Claim,students at schools and universities still learn much more from lessons with teachers,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay360,Premise,other celebrities such as musician also have achieved great success in their career,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay169,Premise,conducting research is helpful for professors and students to some extent,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay321,Claim,many people are not eager to work for themselves,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay137,MajorClaim,These meetings are in none case here to interact with international affairs,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay137,Premise,"These emotions are shared locally in our village or city, nationally in our own country but even internationally too",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay113,Premise,education for these countries normally is not free so only certain group of students can afford it,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay046,MajorClaim,the main function of a university remains as the provision of knowledge and access to resources,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay329,Claim,it is vital to never give up on your dream,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay081,Premise,artists know their boundaries very well and would surely do not want their names tarnished just because of their unscrupulous acts,Anumana,Matched Anumana cues: because,,,
essay286,Premise,Which ways are shortest and which ways are less consume my time,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay089,Claim,farmlands are vital for human life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay015,MajorClaim,they may be factors decreasing the position of written language,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay027,MajorClaim,financial aid is not the only way to assist poor countries,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay365,MajorClaim,city planner can still opt for non-personal vehicle and the exploitation of the suburb areas,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay184,Claim,It can be unforgettable moments in your life,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay275,Premise,"Finally one night, having fun with his irresponsible friend in his luxuries car, he crashed a truck and died",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay160,Claim,fixed punishment will reduce the time taken by judges to give their judgement and it will be effective economically for the Government,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay022,Premise,many researches in the ivory-tower have created ingenious discoveries and achievements for the development of modern society,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay253,Claim,it reinforces students' impression on the knowledge but also invites students to practice the knowledge out on their own,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay222,MajorClaim,parents are really the best teachers who give us much knowledge and advice,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay256,MajorClaim,students can learn more thoroughly as well as showing respect for professors and themselves through attending classes,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay021,Premise,it is not sufficient in itself,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay015,Claim,"it is easy to point out many benefits users can get from email and text messaging, which answers to the question of their great popularity",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay220,MajorClaim,staying with the parents for longer time does more benefits than disadvantages to the young adult,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay217,MajorClaim,learning about life through personal experience seems more appropriate,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay176,MajorClaim,a quintessence of any visit to an excellent museum of a new place would be the best part of a tour,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay298,Claim,"students can learn lots of things from part time job, before starting their real job",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay232,Premise,"if there is a man that beats his wife and treats her bad, his child probably is going to be rude and treat girls bad",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay258,Claim,for practical subjects you have to have a teacher,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay039,MajorClaim,there are some reasons for human beings to travel to outer space,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay376,Claim,it will be of economic benefit to pre-empt certain kinds of diseases,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay099,Claim,Taking a break not just has benefits but it also comes with some negative impacts,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay062,Claim,"some male chauvinists think that women are incapable in particular fields, like maths, mechanical engineering, defense etc",Upamana,Matched Upamana cues: like,,,
essay312,Claim,The professors are essential,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay231,Claim,Growing up in the countryside is not such a good experience,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay224,MajorClaim,brilliant bosses are conscious of the need for giving opportunities to diverse employees,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay332,Premise,Living on your own is a huge financial commitment,Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
essay076,Premise,"without sufficient guidance of teachers, these citizens might misbehave or even commit crimes, posing a threat to other citizens' security",Anumana,No strong cue; default to Anumana (inferential argumentative span),,,
