perturbation,original,perturbed,y_true,y_pred,correct
synonym,"If costs rise while output is fixed in education, margins should compress in equilibrium.","If costs rise while output is fixed in education, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"If costs rise while output is fixed in medicine, margins should compress in equilibrium.","If costs rise while output is fixed in medicine, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"If costs rise while output is fixed in politics, margins should compress in equilibrium.","If costs rise while output is fixed in politics, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"If costs rise while output is fixed in philosophy, margins should compress in equilibrium.","If costs rise while output is fixed in philosophy, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"If costs rise while output is fixed in legal reasoning, margins should compress in equilibrium.","If costs rise while output is fixed in legal reasoning, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"If costs rise while output is fixed in public debate, margins should compress in equilibrium.","If costs rise while output is fixed in public debate, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"If costs rise while output is fixed in social media discourse, margins should compress in equilibrium.","If costs rise while output is fixed in social media discourse, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"If costs rise while output is fixed in news analysis, margins should compress in equilibrium.","If costs rise while output is fixed in news analysis, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"If costs rise while output is fixed in daily life, margins should compress in equilibrium.","If costs rise while output is fixed in daily life, margins should compress in equilibrium.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in science, which suggests a race.","The error only appears when concurrency is enabled in science, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in technology, which suggests a race.","The error only appears when concurrency is enabled in technology, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in education, which suggests a race.","The error only appears when concurrency is enabled in education, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in medicine, which suggests a race.","The error only appears when concurrency is enabled in medicine, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in politics, which suggests a race.","The error only appears when concurrency is enabled in politics, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in philosophy, which suggests a race.","The error only appears when concurrency is enabled in philosophy, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in legal reasoning, which suggests a race.","The error only appears when concurrency is enabled in legal reasoning, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in public debate, which suggests a race.","The error only appears when concurrency is enabled in public debate, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in social media discourse, which suggests a race.","The error only appears when concurrency is enabled in social media discourse, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in news analysis, which suggests a race.","The error only appears when concurrency is enabled in news analysis, which indicates a race.",Anumana,Anumana,True
synonym,"The error only appears when concurrency is enabled in daily life, which suggests a race.","The error only appears when concurrency is enabled in daily life, which indicates a race.",Anumana,Anumana,True
synonym,Teaching science with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching science with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
synonym,Teaching technology with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching technology with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
synonym,Teaching education with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching education with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
synonym,Teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
synonym,Teaching politics with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching politics with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
synonym,Teaching philosophy with metaphors is like using training wheels: helpful until intuition stabilizes.,Teaching philosophy with metaphors is like using training wheels: helpful until intuition stabilizes.,Upamana,Upamana,True
paraphrase,Bench notes (science): the sample fluoresced under UV immediately after staining.,"In short, bench notes (science): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (technology): the sample fluoresced under UV immediately after staining.,"In short, bench notes (technology): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (education): the sample fluoresced under UV immediately after staining.,"In short, bench notes (education): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (medicine): the sample fluoresced under UV immediately after staining.,"In short, bench notes (medicine): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (politics): the sample fluoresced under UV immediately after staining.,"In short, bench notes (politics): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (philosophy): the sample fluoresced under UV immediately after staining.,"In short, bench notes (philosophy): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.,"In short, bench notes (legal reasoning): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (public debate): the sample fluoresced under UV immediately after staining.,"In short, bench notes (public debate): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (social media discourse): the sample fluoresced under UV immediately after staining.,"In short, bench notes (social media discourse): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (news analysis): the sample fluoresced under UV immediately after staining.,"In short, bench notes (news analysis): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,Bench notes (daily life): the sample fluoresced under UV immediately after staining.,"In short, bench notes (daily life): the sample fluoresced under UV immediately after staining.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (science) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (science) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (technology) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (technology) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (education) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (education) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (medicine) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (medicine) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (politics) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (politics) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (philosophy) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (philosophy) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (legal reasoning) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (legal reasoning) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (public debate) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (public debate) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (social media discourse) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (social media discourse) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (news analysis) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (news analysis) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"Telemetry (daily life) captured a single large spike, then quiet baseline for ten minutes.","In short, telemetry (daily life) captured a single large spike, then quiet baseline for ten minutes.",Pratyaksha,Pratyaksha,True
paraphrase,"If costs rise while output is fixed in science, margins should compress in equilibrium.","In short, if costs rise while output is fixed in science, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in technology, margins should compress in equilibrium.","In short, if costs rise while output is fixed in technology, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in education, margins should compress in equilibrium.","In short, if costs rise while output is fixed in education, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in medicine, margins should compress in equilibrium.","In short, if costs rise while output is fixed in medicine, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in politics, margins should compress in equilibrium.","In short, if costs rise while output is fixed in politics, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in philosophy, margins should compress in equilibrium.","In short, if costs rise while output is fixed in philosophy, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in legal reasoning, margins should compress in equilibrium.","In short, if costs rise while output is fixed in legal reasoning, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in public debate, margins should compress in equilibrium.","In short, if costs rise while output is fixed in public debate, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in social media discourse, margins should compress in equilibrium.","In short, if costs rise while output is fixed in social media discourse, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in news analysis, margins should compress in equilibrium.","In short, if costs rise while output is fixed in news analysis, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"If costs rise while output is fixed in daily life, margins should compress in equilibrium.","In short, if costs rise while output is fixed in daily life, margins should compress in equilibrium.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in science, which suggests a race.","In short, the error only appears when concurrency is enabled in science, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in technology, which suggests a race.","In short, the error only appears when concurrency is enabled in technology, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in education, which suggests a race.","In short, the error only appears when concurrency is enabled in education, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in medicine, which suggests a race.","In short, the error only appears when concurrency is enabled in medicine, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in politics, which suggests a race.","In short, the error only appears when concurrency is enabled in politics, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in philosophy, which suggests a race.","In short, the error only appears when concurrency is enabled in philosophy, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in legal reasoning, which suggests a race.","In short, the error only appears when concurrency is enabled in legal reasoning, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in public debate, which suggests a race.","In short, the error only appears when concurrency is enabled in public debate, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in social media discourse, which suggests a race.","In short, the error only appears when concurrency is enabled in social media discourse, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in news analysis, which suggests a race.","In short, the error only appears when concurrency is enabled in news analysis, which suggests a race.",Anumana,Anumana,True
paraphrase,"The error only appears when concurrency is enabled in daily life, which suggests a race.","In short, the error only appears when concurrency is enabled in daily life, which suggests a race.",Anumana,Anumana,True
paraphrase,Teaching science with metaphors is like using training wheels: helpful until intuition stabilizes.,"In short, teaching science with metaphors is like using training wheels: helpful until intuition stabilizes.",Upamana,Upamana,True
paraphrase,Teaching technology with metaphors is like using training wheels: helpful until intuition stabilizes.,"In short, teaching technology with metaphors is like using training wheels: helpful until intuition stabilizes.",Upamana,Upamana,True
paraphrase,Teaching education with metaphors is like using training wheels: helpful until intuition stabilizes.,"In short, teaching education with metaphors is like using training wheels: helpful until intuition stabilizes.",Upamana,Upamana,True
paraphrase,Teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.,"In short, teaching medicine with metaphors is like using training wheels: helpful until intuition stabilizes.",Upamana,Upamana,True
paraphrase,Teaching politics with metaphors is like using training wheels: helpful until intuition stabilizes.,"In short, teaching politics with metaphors is like using training wheels: helpful until intuition stabilizes.",Upamana,Upamana,True
paraphrase,Teaching philosophy with metaphors is like using training wheels: helpful until intuition stabilizes.,"In short, teaching philosophy with metaphors is like using training wheels: helpful until intuition stabilizes.",Upamana,Upamana,True
